id,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,release_date,anio,mes_num,nombre_mes,dia
15,Wii Fit Plus,wii,2009,sports,nintendo,9.09,8.59,2.53,1.79,22.0,2009-06-09 00:00:00,2009,6,june,9
16,Kinect Adventures!,x360,2010,misc,microsoft game studios,14.97,4.94,0.24,1.67,21.82,2010-07-22 00:00:00,2010,7,july,22
17,Grand Theft Auto V,ps3,2013,action,take-two interactive,7.01,9.27,0.97,4.14,21.4,2013-01-17 00:00:00,2013,1,january,17
18,Grand Theft Auto: San Andreas,ps2,2004,action,take-two interactive,9.43,0.4,0.41,10.57,20.81,2004-06-20 00:00:00,2004,6,june,20
19,Super Mario World,snes,1990,platform,nintendo,12.78,3.75,3.54,0.55,20.61,1990-12-18 00:00:00,1990,12,december,18
20,Brain Age: Train Your Brain in Minutes a Day,ds,2005,misc,nintendo,4.75,9.26,4.16,2.05,20.22,2005-10-25 00:00:00,2005,10,october,25
21,Pokemon Diamond/Pokemon Pearl,ds,2006,role-playing,nintendo,6.42,4.52,6.04,1.37,18.36,2006-05-18 00:00:00,2006,5,may,18
22,Super Mario Land,gb,1989,platform,nintendo,10.83,2.71,4.18,0.42,18.14,1989-05-07 00:00:00,1989,5,may,7
23,Super Mario Bros. 3,nes,1988,platform,nintendo,9.54,3.44,3.84,0.46,17.28,1988-03-14 00:00:00,1988,3,march,14
24,Grand Theft Auto V,x360,2013,action,take-two interactive,9.63,5.31,0.06,1.38,16.38,2013-06-21 00:00:00,2013,6,june,21
25,Grand Theft Auto: Vice City,ps2,2002,action,take-two interactive,8.41,5.49,0.47,1.78,16.15,2002-07-09 00:00:00,2002,7,july,9
26,Pokemon Ruby/Pokemon Sapphire,gba,2002,role-playing,nintendo,6.06,3.9,5.38,0.5,15.85,2002-06-07 00:00:00,2002,6,june,7
27,Pokemon Black/Pokemon White,ds,2010,role-playing,nintendo,5.57,3.28,5.65,0.82,15.32,2010-12-15 00:00:00,2010,12,december,15
28,Brain Age 2: More Training in Minutes a Day,ds,2005,puzzle,nintendo,3.44,5.36,5.32,1.18,15.3,2005-09-28 00:00:00,2005,9,september,28
29,Gran Turismo 3: A-Spec,ps2,2001,racing,sony computer entertainment,6.85,5.09,1.87,1.16,14.98,2001-01-03 00:00:00,2001,1,january,3
30,Call of Duty: Modern Warfare 3,x360,2011,shooter,activision,9.03,4.28,0.13,1.32,14.76,2011-05-30 00:00:00,2011,5,may,30
31,Pokémon Yellow: Special Pikachu Edition,gb,1998,role-playing,nintendo,5.89,5.04,3.12,0.59,14.64,1998-11-11 00:00:00,1998,11,november,11
32,Call of Duty: Black Ops,x360,2010,shooter,activision,9.67,3.73,0.11,1.13,14.64,2010-08-07 00:00:00,2010,8,august,7
33,Pokemon X/Pokemon Y,3ds,2013,role-playing,nintendo,5.17,4.05,4.34,0.79,14.35,2013-07-07 00:00:00,2013,7,july,7
34,Call of Duty: Black Ops 3,ps4,2015,shooter,activision,5.77,5.81,0.35,2.31,14.24,2015-02-10 00:00:00,2015,2,february,10
35,Call of Duty: Black Ops II,ps3,2012,shooter,activision,4.99,5.88,0.65,2.52,14.03,2012-01-23 00:00:00,2012,1,january,23
36,Call of Duty: Black Ops II,x360,2012,shooter,activision,8.25,4.3,0.07,1.12,13.73,2012-05-11 00:00:00,2012,5,may,11
37,Call of Duty: Modern Warfare 2,x360,2009,shooter,activision,8.52,3.63,0.08,1.29,13.51,2009-05-16 00:00:00,2009,5,may,16
38,Call of Duty: Modern Warfare 3,ps3,2011,shooter,activision,5.54,5.82,0.49,1.62,13.46,2011-10-25 00:00:00,2011,10,october,25
39,Grand Theft Auto III,ps2,2001,action,take-two interactive,6.99,4.51,0.3,1.3,13.1,2001-11-14 00:00:00,2001,11,november,14
40,Super Smash Bros. Brawl,wii,2008,fighting,nintendo,6.75,2.61,2.66,1.02,13.04,2008-02-04 00:00:00,2008,2,february,4
41,Call of Duty: Black Ops,ps3,2010,shooter,activision,5.98,4.44,0.48,1.83,12.73,2010-03-28 00:00:00,2010,3,march,28
42,Animal Crossing: Wild World,ds,2005,simulation,nintendo,2.55,3.52,5.33,0.88,12.27,2005-11-02 00:00:00,2005,11,november,2
43,Mario Kart 7,3ds,2011,racing,nintendo,4.74,3.91,2.67,0.89,12.21,2011-12-01 00:00:00,2011,12,december,1
44,Halo 3,x360,2007,shooter,microsoft game studios,7.97,2.83,0.13,1.21,12.14,2007-02-01 00:00:00,2007,2,february,1
45,Grand Theft Auto V,ps4,2014,action,take-two interactive,3.8,5.81,0.36,2.02,11.98,2014-07-20 00:00:00,2014,7,july,20
46,Pokemon HeartGold/Pokemon SoulSilver,ds,2009,action,nintendo,4.4,2.77,3.96,0.77,11.9,2009-01-25 00:00:00,2009,1,january,25
47,Super Mario 64,n64,1996,platform,nintendo,6.91,2.85,1.91,0.23,11.89,1996-02-13 00:00:00,1996,2,february,13
48,Gran Turismo 4,ps2,2004,racing,sony computer entertainment,3.01,0.01,1.1,7.53,11.66,2004-08-15 00:00:00,2004,8,august,15
49,Super Mario Galaxy,wii,2007,platform,nintendo,6.16,3.4,1.2,0.76,11.52,2007-09-21 00:00:00,2007,9,september,21
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3ds,2014,role-playing,nintendo,4.23,3.37,3.08,0.65,11.33,2014-11-19 00:00:00,2014,11,november,19
51,Super Mario Land 2: 6 Golden Coins,gb,1992,adventure,nintendo,6.16,2.04,2.69,0.29,11.18,1992-11-21 00:00:00,1992,11,november,21
52,Grand Theft Auto IV,x360,2008,action,take-two interactive,6.76,3.1,0.14,1.03,11.02,2008-05-20 00:00:00,2008,5,may,20
53,Gran Turismo,ps,1997,racing,sony computer entertainment,4.02,3.87,2.54,0.52,10.95,1997-09-20 00:00:00,1997,9,september,20
54,Super Mario 3D Land,3ds,2011,platform,nintendo,4.89,2.99,2.13,0.78,10.79,2011-04-03 00:00:00,2011,4,april,3
55,Gran Turismo 5,ps3,2010,racing,sony computer entertainment,2.96,4.88,0.81,2.12,10.77,2010-07-21 00:00:00,2010,7,july,21
56,Call of Duty: Modern Warfare 2,ps3,2009,shooter,activision,4.99,3.69,0.38,1.63,10.69,2009-09-06 00:00:00,2009,9,september,6
57,Grand Theft Auto IV,ps3,2008,action,take-two interactive,4.76,3.76,0.44,1.62,10.57,2008-07-03 00:00:00,2008,7,july,3
58,Super Mario All-Stars,snes,1993,platform,nintendo,5.99,2.15,2.12,0.29,10.55,1993-03-12 00:00:00,1993,3,march,12
59,Pokemon FireRed/Pokemon LeafGreen,gba,2004,role-playing,nintendo,4.34,2.65,3.15,0.35,10.49,2004-05-13 00:00:00,2004,5,may,13
60,Super Mario 64,ds,2004,platform,nintendo,5.08,3.11,1.25,0.98,10.42,2004-09-10 00:00:00,2004,9,september,10
61,Just Dance 3,wii,2011,misc,ubisoft,6.05,3.15,0.0,1.07,10.26,2011-11-21 00:00:00,2011,11,november,21
62,Call of Duty: Ghosts,x360,2013,shooter,activision,6.72,2.63,0.04,0.82,10.21,2013-01-28 00:00:00,2013,1,january,28
63,Halo: Reach,x360,2010,shooter,microsoft game studios,7.03,1.98,0.08,0.78,9.88,2010-10-06 00:00:00,2010,10,october,6
64,Mario Kart 64,n64,1996,racing,nintendo,5.55,1.94,2.23,0.15,9.87,1996-12-30 00:00:00,1996,12,december,30
65,New Super Mario Bros. 2,3ds,2012,platform,nintendo,3.66,3.07,2.47,0.63,9.82,2012-05-19 00:00:00,2012,5,may,19
66,Halo 4,x360,2012,shooter,microsoft game studios,6.63,2.36,0.04,0.73,9.76,2012-04-17 00:00:00,2012,4,april,17
67,Final Fantasy VII,ps,1997,role-playing,sony computer entertainment,3.01,2.47,3.28,0.96,9.72,1997-05-07 00:00:00,1997,5,may,7
68,Call of Duty: Ghosts,ps3,2013,shooter,activision,4.09,3.73,0.38,1.38,9.59,2013-09-12 00:00:00,2013,9,september,12
69,Just Dance 2,wii,2010,misc,ubisoft,5.84,2.89,0.01,0.78,9.52,2010-01-13 00:00:00,2010,1,january,13
70,Gran Turismo 2,ps,1999,racing,sony computer entertainment,3.88,3.42,1.69,0.5,9.49,1999-06-14 00:00:00,1999,6,june,14
71,Call of Duty 4: Modern Warfare,x360,2007,shooter,activision,5.91,2.38,0.13,0.9,9.32,2007-03-18 00:00:00,2007,3,march,18
72,Donkey Kong Country,snes,1994,platform,nintendo,4.36,1.71,3.0,0.23,9.3,1994-08-16 00:00:00,1994,8,august,16
73,Minecraft,x360,2013,misc,microsoft game studios,5.58,2.83,0.02,0.77,9.2,2013-08-22 00:00:00,2013,8,august,22
74,Animal Crossing: New Leaf,3ds,2012,simulation,nintendo,2.01,2.32,4.36,0.41,9.09,2012-12-23 00:00:00,2012,12,december,23
75,Mario Party DS,ds,2007,misc,nintendo,4.46,1.88,1.98,0.7,9.02,2007-08-27 00:00:00,2007,8,august,27
76,The Elder Scrolls V: Skyrim,x360,2011,role-playing,bethesda softworks,5.03,2.86,0.1,0.85,8.84,2011-05-22 00:00:00,2011,5,may,22
77,Super Mario Kart,snes,1992,racing,nintendo,3.54,1.24,3.81,0.18,8.76,1992-03-30 00:00:00,1992,3,march,30
78,FIFA 16,ps4,2015,sports,electronic arts,1.11,6.06,0.06,1.26,8.49,2015-12-11 00:00:00,2015,12,december,11
79,Wii Party,wii,2010,misc,nintendo,1.79,3.53,2.49,0.68,8.49,2010-08-31 00:00:00,2010,8,august,31
80,Halo 2,xb,2004,shooter,microsoft game studios,6.82,1.53,0.05,0.08,8.49,2004-12-04 00:00:00,2004,12,december,4
81,Mario Party 8,wii,2007,misc,nintendo,3.81,2.3,1.58,0.73,8.42,2007-08-25 00:00:00,2007,8,august,25
82,Pokemon Black 2/Pokemon White 2,ds,2012,role-playing,nintendo,2.91,1.86,3.14,0.43,8.33,2012-05-22 00:00:00,2012,5,may,22
83,FIFA Soccer 13,ps3,2012,action,electronic arts,1.06,5.05,0.13,2.01,8.24,2012-05-04 00:00:00,2012,5,may,4
84,The Sims 3,pc,2009,simulation,electronic arts,0.98,6.42,0.0,0.71,8.11,2009-04-09 00:00:00,2009,4,april,9
85,GoldenEye 007,n64,1997,shooter,nintendo,5.8,2.01,0.13,0.15,8.09,1997-02-11 00:00:00,1997,2,february,11
86,Mario & Sonic at the Olympic Games,wii,2007,sports,sega,2.58,3.9,0.66,0.91,8.06,2007-11-02 00:00:00,2007,11,november,2
87,Final Fantasy X,ps2,2001,role-playing,sony computer entertainment,2.91,2.07,2.73,0.33,8.05,2001-07-19 00:00:00,2001,7,july,19
88,Final Fantasy VIII,ps,1999,role-playing,squaresoft,2.28,1.72,3.63,0.23,7.86,1999-10-16 00:00:00,1999,10,october,16
89,Pokémon Platinum Version,ds,2008,role-playing,nintendo,2.82,1.78,2.69,0.55,7.84,2008-02-11 00:00:00,2008,2,february,11
90,Pac-Man,2600,1982,puzzle,atari,7.28,0.45,0.0,0.08,7.81,1982-11-15 00:00:00,1982,11,november,15
91,Grand Theft Auto: Liberty City Stories,psp,2005,action,take-two interactive,2.9,2.83,0.24,1.75,7.72,2005-10-01 00:00:00,2005,10,october,1
92,Super Mario Galaxy 2,wii,2010,platform,nintendo,3.66,2.42,0.98,0.64,7.69,2010-11-30 00:00:00,2010,11,november,30
93,Star Wars Battlefront (2015),ps4,2015,shooter,electronic arts,2.93,3.29,0.22,1.23,7.67,2015-08-19 00:00:00,2015,8,august,19
94,Call of Duty: Advanced Warfare,ps4,2014,shooter,activision,2.8,3.3,0.14,1.37,7.6,2014-10-22 00:00:00,2014,10,october,22
95,The Legend of Zelda: Ocarina of Time,n64,1998,action,nintendo,4.1,1.89,1.45,0.16,7.6,1998-09-21 00:00:00,1998,9,september,21
96,Crash Bandicoot 2: Cortex Strikes Back,ps,1997,platform,sony computer entertainment,3.78,2.17,1.31,0.31,7.58,1997-11-02 00:00:00,1997,11,november,2
97,Super Mario Bros. 2,nes,1988,platform,nintendo,5.39,1.18,0.7,0.19,7.46,1988-01-16 00:00:00,1988,1,january,16
98,Super Smash Bros. for Wii U and 3DS,3ds,2014,fighting,nintendo,3.24,1.35,2.42,0.43,7.45,2014-05-13 00:00:00,2014,5,may,13
99,Call of Duty: World at War,x360,2008,shooter,activision,4.79,1.9,0.0,0.69,7.37,2008-11-20 00:00:00,2008,11,november,20
100,Battlefield 3,x360,2011,shooter,electronic arts,4.46,2.13,0.06,0.69,7.34,2011-11-22 00:00:00,2011,11,november,22
101,The Legend of Zelda: Twilight Princess,wii,2006,action,nintendo,3.83,2.19,0.6,0.7,7.31,2006-07-24 00:00:00,2006,7,july,24
102,Call of Duty: Black Ops 3,xone,2015,shooter,activision,4.52,2.09,0.01,0.67,7.3,2015-07-09 00:00:00,2015,7,july,9
103,Just Dance,wii,2009,misc,ubisoft,3.51,3.03,0.0,0.73,7.27,2009-09-14 00:00:00,2009,9,september,14
104,Battlefield 3,ps3,2011,shooter,electronic arts,2.85,2.93,0.35,1.1,7.23,2011-08-28 00:00:00,2011,8,august,28
105,Need for Speed Underground,ps2,2003,racing,electronic arts,3.27,2.83,0.08,1.02,7.2,2003-11-23 00:00:00,2003,11,november,23
106,Tekken 3,ps,1998,fighting,sony computer entertainment,3.27,2.22,1.4,0.29,7.16,1998-08-31 00:00:00,1998,8,august,31
107,Crash Bandicoot 3: Warped,ps,1998,platform,sony computer entertainment,3.68,1.75,1.42,0.28,7.13,1998-07-19 00:00:00,1998,7,july,19
108,Super Smash Bros. Melee,gc,2001,fighting,nintendo,4.41,1.04,1.39,0.22,7.07,2001-12-24 00:00:00,2001,12,december,24
109,Mario Kart 8,wiiu,2014,racing,nintendo,3.13,2.07,1.27,0.49,6.96,2014-12-22 00:00:00,2014,12,december,22
110,Fallout 4,ps4,2015,role-playing,bethesda softworks,2.47,3.15,0.24,1.1,6.96,2015-02-05 00:00:00,2015,2,february,5
111,Mario Kart: Double Dash!!,gc,2003,racing,nintendo,4.12,1.77,0.87,0.19,6.95,2003-06-23 00:00:00,2003,6,june,23
112,Just Dance 4,wii,2012,misc,ubisoft,4.14,2.21,0.0,0.56,6.91,2012-02-08 00:00:00,2012,2,february,8
113,FIFA 14,ps3,2013,sports,electronic arts,0.78,4.32,0.07,1.73,6.9,2013-06-25 00:00:00,2013,6,june,25
114,Need for Speed Underground 2,ps2,2004,racing,electronic arts,2.71,3.02,0.08,1.09,6.9,2004-03-09 00:00:00,2004,3,march,9
115,Medal of Honor: Frontline,ps2,2002,shooter,electronic arts,2.93,2.75,0.17,0.99,6.83,2002-10-09 00:00:00,2002,10,october,9
116,Uncharted 3: Drake's Deception,ps3,2011,action,sony computer entertainment,2.77,2.8,0.19,1.06,6.83,2011-05-26 00:00:00,2011,5,may,26
117,Crash Bandicoot,ps,1996,platform,sony computer entertainment,3.23,2.35,0.94,0.3,6.82,1996-07-08 00:00:00,1996,7,july,8
118,Zumba Fitness,wii,2010,sports,505 games,3.5,2.64,0.0,0.67,6.81,2010-01-30 00:00:00,2010,1,january,30
119,Gears of War 2,x360,2008,shooter,microsoft game studios,4.15,1.92,0.06,0.64,6.76,2008-09-05 00:00:00,2008,9,september,5
120,Uncharted 2: Among Thieves,ps3,2009,action,sony computer entertainment,3.27,2.25,0.21,1.0,6.73,2009-10-05 00:00:00,2009,10,october,5
121,Call of Duty 4: Modern Warfare,ps3,2007,shooter,activision,3.1,2.3,0.28,1.04,6.72,2007-01-31 00:00:00,2007,1,january,31
122,FIFA 12,ps3,2011,sports,electronic arts,0.84,4.32,0.11,1.42,6.69,2011-10-25 00:00:00,2011,10,october,25
123,Big Brain Academy,ds,2005,misc,nintendo,1.67,2.78,1.6,0.62,6.67,2005-12-23 00:00:00,2005,12,december,23
124,Red Dead Redemption,ps3,2010,action,take-two interactive,2.79,2.61,0.17,1.03,6.6,2010-03-23 00:00:00,2010,3,march,23
125,FIFA 15,ps4,2014,sports,electronic arts,0.79,4.29,0.05,1.47,6.59,2014-02-28 00:00:00,2014,2,february,28
126,Donkey Kong Country Returns,wii,2010,platform,nintendo,3.25,1.84,1.03,0.47,6.59,2010-09-18 00:00:00,2010,9,september,18
127,The Elder Scrolls V: Skyrim,ps3,2011,role-playing,bethesda softworks,2.55,2.71,0.25,1.05,6.56,2011-03-16 00:00:00,2011,3,march,16
128,The Legend of Zelda,nes,1986,action,nintendo,3.74,0.93,1.69,0.14,6.51,1986-09-13 00:00:00,1986,9,september,13
129,Assassin's Creed III,ps3,2012,action,ubisoft,2.64,2.56,0.16,1.14,6.5,2012-09-23 00:00:00,2012,9,september,23
130,Halo: Combat Evolved,xb,2001,shooter,microsoft game studios,4.98,1.3,0.08,0.07,6.43,2001-05-21 00:00:00,2001,5,may,21
131,Pokémon Emerald Version,gba,2004,role-playing,nintendo,2.57,1.58,2.06,0.21,6.41,2004-01-04 00:00:00,2004,1,january,4
132,Kingdom Hearts,ps2,2002,role-playing,sony computer entertainment,3.64,1.2,1.49,0.07,6.4,2002-02-23 00:00:00,2002,2,february,23
133,Pokémon Crystal Version,gb,2000,role-playing,nintendo,2.55,1.56,1.29,0.99,6.39,2000-04-30 00:00:00,2000,4,april,30
134,Halo 3: ODST,x360,2009,shooter,microsoft game studios,4.34,1.35,0.06,0.61,6.36,2009-01-14 00:00:00,2009,1,january,14
135,Red Dead Redemption,x360,2010,action,take-two interactive,3.7,1.97,0.09,0.57,6.34,2010-02-23 00:00:00,2010,2,february,23
136,Super Mario Sunshine,gc,2002,platform,nintendo,4.01,1.26,0.87,0.17,6.31,2002-09-26 00:00:00,2002,9,september,26
137,Street Fighter II: The World Warrior,snes,1992,fighting,capcom,2.47,0.83,2.87,0.12,6.3,1992-10-20 00:00:00,1992,10,october,20
138,World of Warcraft,pc,2004,role-playing,activision,0.07,6.21,0.0,0.0,6.28,2004-11-06 00:00:00,2004,11,november,6
139,Driver,ps,1999,action,gt interactive,3.11,2.8,0.02,0.33,6.27,1999-10-13 00:00:00,1999,10,october,13
140,Kinect Sports,x360,2010,sports,microsoft game studios,3.92,1.78,0.03,0.51,6.24,2010-08-26 00:00:00,2010,8,august,26
141,Gears of War 3,x360,2011,shooter,microsoft game studios,4.05,1.62,0.07,0.49,6.24,2011-09-28 00:00:00,2011,9,september,28
142,Gears of War,x360,2006,shooter,microsoft game studios,3.54,1.9,0.07,0.6,6.11,2006-06-03 00:00:00,2006,6,june,3
143,Metal Gear Solid 2: Sons of Liberty,ps2,2001,action,konami digital entertainment,2.45,2.01,0.87,0.72,6.05,2001-09-01 00:00:00,2001,9,september,1
144,Sonic the Hedgehog 2,gen,1992,platform,sega,4.47,1.2,0.16,0.19,6.03,1992-06-27 00:00:00,1992,6,june,27
145,Metal Gear Solid 4: Guns of the Patriots,ps3,2008,action,konami digital entertainment,2.63,1.74,0.83,0.83,6.03,2008-04-06 00:00:00,2008,4,april,6
146,Metal Gear Solid,ps,1998,action,konami digital entertainment,3.18,1.83,0.78,0.24,6.03,1998-02-14 00:00:00,1998,2,february,14
147,The Last of Us,ps3,2013,action,sony computer entertainment europe,2.41,2.28,0.28,1.01,5.99,2013-07-11 00:00:00,2013,7,july,11
148,Final Fantasy XII,ps2,2006,role-playing,square enix,1.88,0.0,2.33,1.74,5.95,2006-12-20 00:00:00,2006,12,december,20
149,LittleBigPlanet,ps3,2008,platform,sony computer entertainment,2.8,2.05,0.17,0.9,5.92,2008-11-19 00:00:00,2008,11,november,19
150,Dragon Quest IX: Sentinels of the Starry Skies,ds,2009,role-playing,nintendo,0.66,0.69,4.35,0.15,5.84,2009-10-23 00:00:00,2009,10,october,23
151,LEGO Star Wars: The Complete Saga,wii,2007,action,lucasarts,3.66,1.63,0.0,0.53,5.83,2007-09-11 00:00:00,2007,9,september,11
152,Resident Evil 2,ps,1998,action,virgin interactive,1.88,1.47,2.02,0.45,5.82,1998-03-13 00:00:00,1998,3,march,13
153,Tekken 2,ps,1996,fighting,sony computer entertainment,2.26,1.89,1.36,0.23,5.74,1996-03-01 00:00:00,1996,3,march,1
154,Cooking Mama,ds,2006,simulation,505 games,3.13,1.94,0.07,0.58,5.72,2006-11-23 00:00:00,2006,11,november,23
155,Destiny,ps4,2014,shooter,activision,2.49,2.05,0.16,0.96,5.65,2014-04-03 00:00:00,2014,4,april,3
156,Tetris,nes,1988,puzzle,nintendo,2.97,0.69,1.81,0.11,5.58,1988-12-15 00:00:00,1988,12,december,15
157,Assassin's Creed II,ps3,2009,action,ubisoft,2.54,1.95,0.21,0.87,5.57,2009-09-06 00:00:00,2009,9,september,6
158,Super Smash Bros.,n64,1999,fighting,nintendo,2.95,0.6,1.97,0.04,5.55,1999-05-08 00:00:00,1999,5,may,8
159,Assassin's Creed,x360,2007,adventure,ubisoft,3.28,1.65,0.07,0.55,5.55,2007-04-03 00:00:00,2007,4,april,3
160,Batman: Arkham City,ps3,2011,action,warner bros. interactive entertainment,2.7,1.91,0.11,0.8,5.53,2011-02-04 00:00:00,2011,2,february,4
161,Forza Motorsport 3,x360,2009,racing,microsoft game studios,2.99,1.92,0.1,0.51,5.51,2009-01-04 00:00:00,2009,1,january,4
162,Monster Hunter Freedom Unite,psp,2008,role-playing,capcom,0.47,0.57,4.13,0.34,5.5,2008-04-09 00:00:00,2008,4,april,9
163,Super Mario Advance,gba,2001,platform,nintendo,3.14,1.24,0.91,0.2,5.49,2001-10-30 00:00:00,2001,10,october,30
164,Mario Kart: Super Circuit,gba,2001,racing,nintendo,2.62,1.64,0.99,0.23,5.47,2001-11-17 00:00:00,2001,11,november,17
165,Super Mario World,gba,2001,platform,nintendo,3.21,1.11,0.95,0.2,5.46,2001-10-30 00:00:00,2001,10,october,30
166,Pokemon Stadium,n64,1999,strategy,nintendo,3.18,1.24,0.94,0.09,5.45,1999-03-23 00:00:00,1999,3,march,23
167,Call of Duty: World at War,ps3,2008,shooter,activision,2.72,1.87,0.0,0.84,5.43,2008-01-14 00:00:00,2008,1,january,14
168,Crash Bandicoot: The Wrath of Cortex,ps2,2001,platform,universal interactive,2.07,2.29,0.24,0.82,5.42,2001-01-03 00:00:00,2001,1,january,3
169,Minecraft,ps3,2014,misc,sony computer entertainment,1.97,2.51,0.0,0.94,5.42,2014-03-13 00:00:00,2014,3,march,13
170,Final Fantasy XIII,ps3,2009,role-playing,square enix,1.74,1.24,1.87,0.52,5.36,2009-06-23 00:00:00,2009,6,june,23
171,Dr. Mario,gb,1989,puzzle,nintendo,2.18,0.96,2.0,0.2,5.34,1989-12-17 00:00:00,1989,12,december,17
172,Pokemon Pinball,gb,1999,misc,nintendo,3.02,1.12,1.01,0.16,5.31,1999-05-07 00:00:00,1999,5,may,7
173,Assassin's Creed III,x360,2012,action,ubisoft,3.13,1.71,0.03,0.44,5.3,2012-08-02 00:00:00,2012,8,august,2
174,Final Fantasy IX,ps,2000,role-playing,squaresoft,1.62,0.77,2.78,0.14,5.3,2000-05-11 00:00:00,2000,5,may,11
175,Final Fantasy X-2,ps2,2003,role-playing,electronic arts,1.92,1.08,2.11,0.17,5.29,2003-09-03 00:00:00,2003,9,september,3
176,Donkey Kong 64,n64,1999,platform,nintendo,3.33,0.79,1.09,0.06,5.27,1999-11-30 00:00:00,1999,11,november,30
177,Assassin's Creed II,x360,2009,action,ubisoft,3.1,1.56,0.08,0.51,5.27,2009-02-08 00:00:00,2009,2,february,8
178,Professor Layton and the Curious Village,ds,2007,puzzle,nintendo,1.22,2.48,1.03,0.52,5.26,2007-01-29 00:00:00,2007,1,january,29
179,Tomb Raider II,ps,1997,action,eidos interactive,2.3,2.46,0.2,0.28,5.24,1997-03-18 00:00:00,1997,3,march,18
181,Dragon Quest VIII: Journey of the Cursed King,ps2,2004,role-playing,square enix,0.65,0.75,3.61,0.2,5.21,2004-11-14 00:00:00,2004,11,november,14
182,Diablo III,pc,2012,role-playing,activision,2.43,2.15,0.0,0.62,5.2,2012-08-01 00:00:00,2012,8,august,1
183,Super Mario Bros. 3,gba,2003,platform,nintendo,2.93,1.25,0.83,0.2,5.2,2003-11-18 00:00:00,2003,11,november,18
184,New Super Mario Bros. U,wiiu,2012,platform,nintendo,2.32,1.3,1.27,0.31,5.19,2012-12-21 00:00:00,2012,12,december,21
185,Super Mario Land 3: Wario Land,gb,1994,platform,nintendo,2.49,0.98,1.57,0.15,5.19,1994-04-14 00:00:00,1994,4,april,14
186,FIFA Soccer 13,x360,2012,action,electronic arts,1.08,3.48,0.03,0.58,5.18,2012-03-20 00:00:00,2012,3,march,20
187,The Legend of Zelda: Phantom Hourglass,ds,2007,action,nintendo,1.9,1.83,0.95,0.49,5.17,2007-09-13 00:00:00,2007,9,september,13
188,Donkey Kong Country 2: Diddy's Kong Quest,snes,1995,platform,nintendo,2.1,0.74,2.2,0.11,5.15,1995-07-14 00:00:00,1995,7,july,14
189,Tomodachi Life,3ds,2013,simulation,nintendo,0.96,2.02,1.89,0.28,5.15,2013-10-22 00:00:00,2013,10,october,22
190,Mario & Sonic at the Olympic Games,ds,2008,sports,sega,1.64,2.48,0.44,0.58,5.14,2008-12-19 00:00:00,2008,12,december,19
191,Medal of Honor: Rising Sun,ps2,2003,shooter,electronic arts,1.98,2.23,0.13,0.8,5.13,2003-03-17 00:00:00,2003,3,march,17
192,Kirby's Dream Land,gb,1992,platform,nintendo,2.71,0.61,1.7,0.11,5.13,1992-06-22 00:00:00,1992,6,june,22
193,Fable III,x360,2010,role-playing,microsoft game studios,3.59,1.11,0.05,0.38,5.13,2010-04-17 00:00:00,2010,4,april,17
194,Call of Duty: Advanced Warfare,xone,2014,shooter,activision,3.21,1.53,0.01,0.38,5.13,2014-07-14 00:00:00,2014,7,july,14
